feature1,feature2,feature3,label
-2.673844686719123676e+00,-1.066917037527394529e-01,-1.915332997356450906e-01,0.000000000000000000e+00
-2.673844686719123676e+00,-1.066917037527394529e-01,-1.915332997356450906e-01,0.000000000000000000e+00
-2.840321296827011288e+00,-2.205763382764775737e-01,9.006137653041490498e-02,0.000000000000000000e+00
-2.622526203125810973e+00,8.180896745965940964e-01,1.453159888216171147e-01,0.000000000000000000e+00
-2.866999846932536400e+00,7.719309572358606930e-02,-1.568423504980245298e-01,0.000000000000000000e+00
-2.648322732479129193e+00,3.191366677508835625e-01,3.339425407069754326e-02,0.000000000000000000e+00
-2.356171086683900295e+00,-3.120958906833920521e-02,1.294075758959929434e-01,0.000000000000000000e+00
-2.673844686719123676e+00,-1.066917037527394529e-01,-1.915332997356450906e-01,0.000000000000000000e+00
-2.703912314863652799e+00,1.150108521705046627e-01,-8.269572660682206200e-02,0.000000000000000000e+00
-2.587346188917740264e+00,5.204736388059668650e-01,2.195720880008243669e-01,0.000000000000000000e+00
-2.590323025585676397e+00,2.360593372888717401e-01,-7.390123824707700573e-02,0.000000000000000000e+00
-2.770138910746327010e+00,2.710594197651661208e-01,8.424157450476274511e-02,0.000000000000000000e+00
-2.852211081566394579e+00,-9.328653674695452924e-01,-3.409614911071514598e-01,0.000000000000000000e+00
-2.746437197308736700e+00,-3.111243157519927305e-01,3.767197528530075168e-02,0.000000000000000000e+00
-2.639821268376584040e+00,3.192900659603206681e-01,-1.392533737785353054e-01,0.000000000000000000e+00
-2.787433975997100077e+00,-2.277401888711072242e-01,-2.003277880953894807e-01,0.000000000000000000e+00
-2.981842664853910918e+00,-4.802500488560773606e-01,7.972480735962106380e-02,0.000000000000000000e+00
2.345405862598324842e-01,-3.319218293621205573e-01,-2.702806708356937371e-01,1.000000000000000000e+00
1.464061322779071972e+00,5.041898329724529004e-01,-3.382607277179592309e-01,1.000000000000000000e+00
3.567865678304580346e-01,-6.682382794136643156e-02,-2.274721803208833992e-01,1.000000000000000000e+00
1.087134487206997457e+00,7.539038928876731771e-02,-3.065444648144318718e-01,1.000000000000000000e+00
8.996408632837729069e-01,3.296109795818836785e-01,-3.147714813796257949e-01,1.000000000000000000e+00
1.645134283692526456e-01,-6.796614693108138372e-01,-5.779923880574402983e-02,1.000000000000000000e+00
3.752382289467627308e-01,-2.916220248087798561e-01,7.907335550136579405e-02,1.000000000000000000e+00
2.978079074069308607e-01,-3.470165215985639984e-01,1.217913915885926457e-02,1.000000000000000000e+00
1.557396272070699084e+00,2.673925848127647886e-01,-1.646384908522288415e-01,1.000000000000000000e+00
9.840445451694277423e-01,-1.243604202222779870e-01,-6.215742761353895696e-02,1.000000000000000000e+00
1.095223709938475176e+00,2.838912109384802429e-01,1.700225337414994764e-01,1.000000000000000000e+00
4.324640032870154943e-02,-5.814894466123587957e-01,-2.329635564825227878e-01,1.000000000000000000e+00
7.140082136428299586e-01,1.503791531484370281e-01,-3.203723328292698569e-01,1.000000000000000000e+00
1.349949504513701659e-01,-3.117096427033963502e-01,-1.749733037877652664e-01,1.000000000000000000e+00
-9.084633331234981402e-01,-7.515687251694858073e-01,-7.736584506980559439e-03,1.000000000000000000e+00
-1.918844921031487849e-01,-6.774905443743574063e-01,-3.039165434636245666e-01,1.000000000000000000e+00
4.630309888714210786e-01,-6.695265465361225354e-01,-2.405389088980935952e-02,1.000000000000000000e+00
1.525663631313869395e+00,-3.750208481918228531e-01,-1.206364407449119908e-01,2.000000000000000000e+00
2.349757983950938822e+00,-4.188254965484150549e-02,2.841106808661673089e-01,2.000000000000000000e+00
2.918134233644248177e+00,7.803806293720322307e-01,4.217389336137669087e-01,2.000000000000000000e+00
3.488765379656382670e+00,1.171544544263564358e+00,1.293200833617748069e-01,2.000000000000000000e+00
1.344594217509821110e+00,-7.764154251768247139e-01,2.828680182243184515e-01,2.000000000000000000e+00
2.144986856709300671e+00,1.389066088773147079e-01,7.341847390548599250e-01,2.000000000000000000e+00
1.198097372274959493e+00,-6.055789617645941370e-01,5.126407650398148164e-01,2.000000000000000000e+00
2.107653731173265044e+00,3.714822491771059276e-01,2.743785646148499957e-02,2.000000000000000000e+00
5.193832450849331650e-01,-1.191351689050652807e+00,5.466855311249489979e-01,2.000000000000000000e+00
1.414072225173754305e+00,-5.749250559123044724e-01,2.963982243052131760e-01,2.000000000000000000e+00
2.314303394629544819e+00,1.826088507936988459e-01,3.228604007423824251e-01,2.000000000000000000e+00
1.901629075288229220e+00,1.158767482479658578e-01,7.228735608675683766e-01,2.000000000000000000e+00
2.840960925285379801e+00,3.727425910490214656e-01,-5.010315391382016426e-01,2.000000000000000000e+00
2.563322712340805332e+00,2.759745022398384373e-01,2.912536131268594897e-01,2.000000000000000000e+00
1.257625182925133034e+00,-1.791369974232227547e-01,4.697780744922708251e-02,2.000000000000000000e+00
2.158738373133131105e+00,-2.183255315629928917e-01,2.084219761639157231e-01,2.000000000000000000e+00
3.076521621020657626e+00,6.857644422460568157e-01,-3.364227412082240187e-01,2.000000000000000000e+00
